thread_id,sample_idx,mode,n,drift,stat,p_value,rates
0,1,global,131072,0.009691650189819434,0.4824534225356886,0.4950540860757029,7.98872704866857|7.993427220324379|7.997199839022401|7.99841869885839
0,1,global,131072,0.010432354807841548,0.5193259335171665,0.462681831097139,7.988176202505967|7.993762438980629|7.997161847597223|7.998608557313808
0,1,global,131072,0.009423890380693578,0.4691242542516362,0.5070474596195476,7.989239829132932|7.994847551936323|7.997376611127162|7.998663719513625
0,1,global,131072,0.008919154790038242,0.44399835634799173,0.5300637704361932,7.989923426780842|7.994250532246649|7.997376398990307|7.99884258157088
0,1,global,131072,0.009256410370305446,0.46078704617710775,0.5146260269338976,7.989417364365484|7.994698296106302|7.997007649612924|7.998673774735789
0,1,global,131072,0.01072221761278147,0.5337553959482353,0.45034238295286677,7.988036726891327|7.994413551264162|7.996947804600212|7.998758944504108
0,1,global,131072,0.009853431142773594,0.49050692972229853,0.4878818003558476,7.988867428536942|7.994402701669582|7.997719955736741|7.9987208596797155
0,1,global,131072,0.010098283290776777,0.502695747364875,0.47713420360868497,7.988515978681724|7.993730577914962|7.99704245937051|7.9986142619725005
0,1,global,131072,0.010454413935086393,0.5204240438728833,0.4617361946947711,7.987964064961856|7.994493393216328|7.997084768063562|7.998418478896943
0,1,global,131072,0.009948187145776721,0.49522391362692625,0.48370713268035725,7.988645438275298|7.994472154362294|7.997440640395108|7.9985936254210745
0,1,global,131072,0.009789354438548337,0.48731717104830546,0.4907158093750401,7.988843593693991|7.9946676183301735|7.997483018522313|7.998632948132539
0,1,global,131072,0.010722642941448868,0.5337765689442957,0.45032441477390917,7.988029570584987|7.994034796130708|7.997401233526466|7.998752213526436
0,1,global,131072,0.007861700144558448,0.39135792846462686,0.5799458799657136,7.990852834967659|7.995330980036702|7.997555852201189|7.998714535112217
0,1,global,131072,0.009831421060645162,0.48941126084804343,0.4888542738448707,7.988763653577493|7.994283166430169|7.99709475936706|7.998595074638138
0,1,global,131072,0.009608103361607334,0.47829443490990026,0.4987799338309764,7.989112551801287|7.99422889702018|7.997234173674883|7.998720655162894
0,1,global,131072,0.009657232917474445,0.4807401197944666,0.49658715253412056,7.9890775193866235|7.994992229475358|7.997468404837541|7.998734752304098
0,1,global,131072,0.008425096500489282,0.4194039778823504,0.5530962094049459,7.990083646801985|7.993948784376757|7.996921776364619|7.998508743302474
0,1,global,131072,0.009887813980077986,0.4922185182762701,0.4863647514660958,7.98876698368939|7.994551452511444|7.997317122560241|7.998654797669468
0,1,global,131072,0.010174682484149322,0.5064989234597229,0.47380744064274616,7.988632823715542|7.994658646550912|7.997575052545542|7.998807506199691
0,1,global,131072,0.010616808291519675,0.5285080864793754,0.4548079466505379,7.9878295942433155|7.994717567242536|7.997137285830878|7.998446402534835
0,1,global,131072,0.011203305945287845,0.5577041258356903,0.43027979628244717,7.98754770159943|7.994297036109236|7.997490472446027|7.998751007544718
0,1,global,131072,0.010135270477692693,0.5045369812691172,0.47552202141959654,7.988465938616032|7.994368434303575|7.99738353264396|7.998601209093724
0,1,global,131072,0.011079680598610864,0.5515500168399773,0.43538514726041533,7.987430252232472|7.994025795288275|7.997290128282701|7.998509932831083
0,1,global,131072,0.010394097324835094,0.5174214638703509,0.46432442103694016,7.988276762370666|7.993567733859069|7.996844007238705|7.998670859695501
0,1,global,131072,0.012402833059345753,0.6174169662980405,0.38257609729373376,7.986184866223718|7.993363411945325|7.996895003222624|7.998587699283064
0,1,global,131072,0.011183386997265288,0.5567125542809422,0.4311000318135467,7.987513210773421|7.9950617966118065|7.997369472442209|7.998696597770686
0,1,global,131072,0.011261673311104836,0.5606096718316013,0.4278815297887124,7.98753746447004|7.994483996775782|7.99730129887357|7.998799137781145
0,1,global,131072,0.011421885307792756,0.5685850758772979,0.42133868737441493,7.987071276750998|7.994177364926161|7.996813918979995|7.998493162058791
0,1,global,131072,0.008694857956539792,0.4328327887856259,0.5404595848169627,7.989973904445408|7.995019778896722|7.997286888664628|7.998668762401948
0,1,global,131072,0.010189000579880592,0.5072116828097252,0.47318538859014536,7.988253225914043|7.993895050188623|7.996660697368188|7.998442226493924
0,1,global,131072,0.007961434140572266,0.3963227184413195,0.5751486293501671,7.990644264677884|7.9956524597748295|7.997341555523649|7.998605698818456
0,1,global,131072,0.009871293374406065,0.49139611728235544,0.4870933596322564,7.988782824112776|7.994382571335808|7.997400558239865|7.998654117487182
0,1,global,131072,0.008640764467355844,0.43013999772501715,0.5429819084948,7.989729963668714|7.994086374654972|7.997059130835644|7.99837072813607
0,1,global,131072,0.008618965424569858,0.42905483445621195,0.5440000304463712,7.989728907683668|7.994222595717819|7.997084225960345|7.998347873108238
0,1,global,131072,0.010373905042851739,0.5164162856642794,0.4651926861273068,7.988209112960135|7.994611386587719|7.996940995100327|7.998583018002987
0,1,global,131072,0.009492656998864923,0.47254747833042315,0.5039527978849221,7.989195523957856|7.99461258305551|7.997472505009719|7.998688180956721
0,1,global,131072,0.009597587627287574,0.47777095831781546,0.49924994651841015,7.9890021788956425|7.994607910510358|7.997290818613858|7.99859976652293
