thread_id,sample_idx,mode,n,scale,kl,chi,df,p_value,nonzero_bins
0,1,byte_hist,131072,1.2,0.0008785997980155034,276.38359854117135,255,0.8291883884613453,256
0,1,byte_hist,131072,1.2,0.0008096350203409212,254.68915532670053,255,0.5062866777029954,256
0,1,byte_hist,131072,1.2,0.001011717697210966,318.25886882120574,255,0.9956943183714422,256
0,1,byte_hist,131072,1.2,0.0007876597420485849,247.77633050350107,255,0.3846294163699751,256
0,1,byte_hist,131072,1.2,0.0010960744279239797,344.7952018004445,255,0.9998150744410305,256
0,1,byte_hist,131072,1.2,0.0009644745748429818,303.39746753716634,255,0.9798108385621351,256
0,1,byte_hist,131072,1.2,0.0009262390515709542,291.3696119220195,255,0.9416641891322283,256
0,1,byte_hist,131072,1.2,0.0008022613208749876,252.36959003934328,255,0.4652054186230822,256
0,1,byte_hist,131072,1.2,0.0009192693026734017,289.17711849601943,255,0.9305399644139053,256
0,1,byte_hist,131072,1.2,0.0008602341178967687,270.6062551223166,255,0.7601608426066047,256
0,1,byte_hist,131072,1.2,0.0008866325065463077,278.91047015529034,255,0.8546718145809749,256
0,1,byte_hist,131072,1.2,0.0009605204067544066,302.1535938098726,255,0.9772880081120354,256
0,1,byte_hist,131072,1.2,0.0010962268935858892,344.84316335061516,255,0.9998157949907893,256
0,1,byte_hist,131072,1.2,0.0009748245741962738,306.6532958137296,255,0.9852927200634585,256
0,1,byte_hist,131072,1.2,0.000947568147610664,298.0791653846999,255,0.9670255713287376,256
0,1,byte_hist,131072,1.2,0.0008648996760943578,272.0739128280952,255,0.7791026661961398,256
0,1,byte_hist,131072,1.2,0.0008910163626784409,280.28951205357265,255,0.867384509507247,256
0,1,byte_hist,131072,1.2,0.0009738200534716332,306.33730091672135,255,0.984825254494978,256
0,1,byte_hist,131072,1.2,0.000886774266805743,278.9550640770296,255,0.8550959854550094,256
0,1,byte_hist,131072,1.2,0.000877002873123727,275.88124940657553,255,0.8237806135949646,256
0,1,byte_hist,131072,1.2,0.001033660375383497,325.16143853343766,255,0.9980682876815109,256
0,1,byte_hist,131072,1.2,0.0009324232026913006,293.31497765557,255,0.9502788028726264,256
0,1,byte_hist,131072,1.2,0.0008265737155234464,260.017608098614,255,0.5987916254021998,256
0,1,byte_hist,131072,1.2,0.0010768717027069277,338.7545467612858,255,0.9996445861696895,256
0,1,byte_hist,131072,1.2,0.0008657355989227077,272.33687141279313,255,0.7823966936924053,256
0,1,byte_hist,131072,1.2,0.0009695679728800354,304.9997120191968,255,0.9826985204183333,256
0,1,byte_hist,131072,1.2,0.0010328358569796667,324.90206747049325,255,0.9980074011761528,256
0,1,byte_hist,131072,1.2,0.0009212898546349095,289.81272918409644,255,0.9339270058660486,256
0,1,byte_hist,131072,1.2,0.0009789322600477202,307.9454620535395,255,0.9870747204408667,256
0,1,byte_hist,131072,1.2,0.0009034495803862583,284.20066416093033,255,0.8990188347705623,256
0,1,byte_hist,131072,1.2,0.0008323742612469872,261.84230200839625,255,0.6292148512430786,256
0,1,byte_hist,131072,1.2,0.0010444604705111462,328.5588546980087,255,0.9987214760283177,256
0,1,byte_hist,131072,1.2,0.0009227435877489935,290.2700340802466,255,0.9362808090812467,256
0,1,byte_hist,131072,1.2,0.0010797663136879348,339.665112642492,255,0.9996819889392128,256
0,1,byte_hist,131072,1.2,0.0009664559328388512,304.02074886972935,255,0.9809805984744207,256
0,1,byte_hist,131072,1.2,0.0009328946691311759,293.46328817366754,255,0.9508901054592991,256
0,1,byte_hist,131072,1.2,0.0011293251988507657,355.25498991304215,255,0.9997832603776571,256
0,1,byte_hist,131072,1.2,0.0011451670969540736,360.23842015671437,255,0.9996059827972558,256
0,1,byte_hist,131072,1.2,0.0009821770761357733,308.96619293584337,255,0.9883443338640248,256
0,1,byte_hist,131072,1.2,0.0009092836712541043,286.03591046068306,255,0.9117207712794934,256
