thread_id,sample_idx,k,m,mean_diff,var_diff,stat,p_value,complexities,diffs
0,1,8,8,34.107142857142854,550.6670918367347,1.453452283151774,0.039831381223514484,14722|14729|14745|14716|14769|14711|14669|14706,7|23|6|47|11|53|16|16|13|40|18|60|23|29|24|34|76|39|53|5|47|10|58|100|63|42|5|37
0,1,8,8,45,991,1.429472110477041,0.04321974248741256,14749|14744|14769|14729|14781|14807|14676|14757,5|20|20|32|58|73|8|25|15|37|63|68|13|40|12|38|93|12|52|78|53|28|26|105|24|131|50|81
0,1,8,8,53.035714285714285,1211.4630102040815,1.5237486826695088,0.031169075929575962,14687|14688|14710|14699|14655|14753|14738|14797,1|23|12|32|66|51|110|22|11|33|65|50|109|11|55|43|28|87|44|54|39|98|98|83|142|15|44|59
0,1,8,8,31.964285714285715,448.5344387755103,1.5092705815502514,0.03280740579975516,14729|14773|14741|14788|14721|14746|14725|14708,44|12|59|8|17|4|21|32|15|52|27|48|65|47|20|5|16|33|67|42|63|80|25|4|13|21|38|17
0,1,8,8,31,507.57142857142856,1.3759831323951912,0.05166252997848586,14734|14749|14760|14728|14741|14725|14709|14798,15|26|6|7|9|25|64|11|21|8|24|40|49|32|19|35|51|38|13|3|19|70|16|32|57|16|73|89
0,1,8,8,21.464285714285715,248.67729591836738,1.3611261336472464,0.054238851901251994,14731|14739|14731|14708|14772|14728|14735|14753,8|0|23|41|3|4|22|8|31|33|11|4|14|23|41|3|4|22|64|20|27|45|44|37|19|7|25|18
0,1,8,8,32.07142857142857,397.1377551020409,1.6093396712530508,0.022848935915597668,14744|14752|14743|14775|14765|14703|14785|14725,8|1|31|21|41|41|19|9|23|13|49|33|27|32|22|40|42|18|10|72|10|50|62|20|40|82|22|60
0,1,8,8,42.82142857142857,861.7181122448982,1.4587421805682683,0.03911506393374564,14691|14779|14686|14783|14723|14731|14712|14708,88|5|92|32|40|21|17|93|4|56|48|67|71|97|37|45|26|22|60|52|71|75|8|11|15|19|23|4
0,1,8,8,32.857142857142854,475.12244897959187,1.507394827171807,0.03302496666785415,14755|14736|14682|14701|14726|14736|14768|14742,19|73|54|29|19|13|13|54|35|10|0|32|6|19|44|54|86|60|25|35|67|41|10|42|16|32|6|26
0,1,8,8,31.571428571428573,430.10204081632656,1.5223288646034223,0.03132657443959297,14753|14706|14745|14737|14730|14770|14754|14689,47|8|16|23|17|1|64|39|31|24|64|48|17|8|15|25|9|56|7|33|17|48|40|24|41|16|81|65
0,1,8,8,40.285714285714285,864.3469387755104,1.3702727437106816,0.05264037624029738,14768|14704|14746|14779|14668|14743|14736|14742,64|22|11|100|25|32|26|42|75|36|39|32|38|33|78|3|10|4|111|36|43|37|75|68|74|7|1|6
0,1,8,8,37.82142857142857,555.2181122448981,1.6051148628119751,0.02320901776688533,14696|14736|14736|14709|14792|14754|14730|14772,40|40|13|96|58|34|76|0|27|56|18|6|36|27|56|18|6|36|83|45|21|63|38|62|20|24|18|42
0,1,8,8,39.535714285714285,546.6058673469388,1.6910344101175072,0.01678040740186404,14780|14753|14733|14765|14716|14734|14794|14698,27|47|15|64|46|14|82|20|12|37|19|41|55|32|17|1|61|35|49|31|29|67|18|78|18|60|36|96
0,1,8,8,30.464285714285715,380.74872448979585,1.561247555039107,0.02724853929067761,14730|14687|14721|14742|14752|14694|14733|14758,43|9|12|22|36|3|28|34|55|65|7|46|71|21|31|27|12|37|10|48|9|16|58|19|6|39|64|25
0,1,8,8,40.107142857142854,761.952806122449,1.4529734832855064,0.039896762493785376,14749|14745|14709|14713|14744|14784|14672|14755,4|40|36|5|35|77|6|36|32|1|39|73|10|4|35|75|37|46|31|71|41|42|40|72|11|112|29|83
0,1,8,8,46.357142857142854,762.3010204081633,1.6790104941204445,0.017573691504200628,14781|14713|14678|14781|14755|14731|14742|14693,68|103|0|26|50|39|88|35|68|42|18|29|20|103|77|53|64|15|26|50|39|88|24|13|62|11|38|49
0,1,8,8,20.142857142857142,334.8367346938776,1.1007901216564255,0.11952932728728927,14714|14724|14695|14709|14707|14716|14711|14760,10|19|5|7|2|3|46|29|15|17|8|13|36|14|12|21|16|65|2|7|2|51|9|4|53|5|44|49
0,1,8,8,30.785714285714285,472.6683673469389,1.4160251441085208,0.04522418796333838,14753|14745|14742|14704|14772|14772|14793|14745,8|11|49|19|19|40|8|3|41|27|27|48|0|38|30|30|51|3|68|68|89|41|0|21|27|21|27|48
0,1,8,8,47.92857142857143,879.8520408163266,1.6158076562327515,0.022307071403763867,14731|14679|14756|14770|14805|14772|14707|14738,52|25|39|74|41|24|7|77|91|126|93|28|59|14|49|16|49|18|35|2|63|32|33|98|67|65|34|31
0,1,8,8,23.178571428571427,285.28954081632645,1.3722831806616242,0.052294359214090536,14712|14764|14706|14728|14726|14750|14714|14715,52|6|16|14|38|2|3|58|36|38|14|50|49|22|20|44|8|9|2|22|14|13|24|12|11|36|35|1
0,1,8,8,14.678571428571429,81.93239795918369,1.621645635884031,0.02182761584664883,14705|14709|14696|14728|14730|14726|14717|14710,4|9|23|25|21|12|5|13|19|21|17|8|1|32|34|30|21|14|2|2|11|18|4|13|20|9|16|7
0,1,8,8,50.42857142857143,1597.9591836734692,1.2615190826591387,0.07441424073229608,14724|14729|14729|14766|14827|14727|14753|14835,5|5|42|103|3|29|111|0|37|98|2|24|106|37|98|2|24|106|61|39|13|69|100|74|8|26|108|82
0,1,8,8,30.821428571428573,478.0038265306124,1.4097336869273562,0.046188593153661195,14740|14734|14772|14758|14777|14696|14742|14770,6|32|18|37|44|2|30|38|24|43|38|8|36|14|5|76|30|2|19|62|16|12|81|35|7|46|74|28
0,1,8,8,45.32142857142857,1102.5038265306123,1.3649399274763585,0.053567490834068865,14720|14688|14706|14811|14766|14709|14744|14717,32|14|91|46|11|24|3|18|123|78|21|56|29|105|60|3|38|11|45|102|67|94|57|22|49|35|8|27
0,1,8,8,43.57142857142857,810.5306122448981,1.5304427498521735,0.030435634601478023,14774|14697|14725|14789|14741|14697|14722|14689,77|49|15|33|77|52|85|28|92|44|0|25|8|64|16|28|3|36|48|92|67|100|44|19|52|25|8|33
0,1,8,8,35.464285714285715,689.9630102040817,1.3501384732835637,0.05621242194318965,14720|14673|14748|14763|14755|14759|14745|14708,47|28|43|35|39|25|12|75|90|82|86|72|35|15|7|11|3|40|8|4|18|55|4|10|47|14|51|37
0,1,8,8,36.285714285714285,658.0612244897958,1.4144986131355017,0.04545661337138007,14766|14724|14746|14771|14759|14684|14783|14741,42|20|5|7|82|17|25|22|47|35|40|59|17|25|13|62|37|5|12|87|12|30|75|24|18|99|57|42
0,1,8,8,54.607142857142854,1147.7385204081634,1.61186243946788,0.022636242050787292,14760|14736|14814|14738|14704|14688|14687|14782,24|54|22|56|72|73|22|78|2|32|48|49|46|76|110|126|127|32|34|50|51|44|16|17|78|1|94|95
0,1,8,8,43.32142857142857,650.9323979591836,1.697988817283543,0.01633608392994823,14788|14706|14686|14777|14740|14746|14720|14766,82|102|11|48|42|68|22|20|71|34|40|14|60|91|54|60|34|80|37|31|57|11|6|20|26|26|20|46
