Model,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,DeathCount
G1_W1_1766903965.pt,0.14218040490132186,0.0012293891207455529,0.005504586589621204,0.18739344433145474,0.17355717480003152,2.4686477676169727e-111,0.48326367792466307,0.479393167444085,0.2386268334172198,0.04704464858580957,0.7120978257315802,0.5633361485186238,0.9367364515642184,1.0,1.0,8
G1_W1_253.pt,0.5742643332020819,9.444285040330916e-05,0.7557564107848137,0.019765961163563776,0.7366577987035376,1.873274721686537e-266,0.8545539790614108,0.06106638148196596,0.980134216129015,0.25448684848916603,0.5474912502642385,0.6733238602360417,0.23412793318472125,4.8719054586543636e-45,0.02950191219015775,7
G1_W1_1766905530.pt,0.05854604315331769,0.003869503748192336,0.4171878543257974,0.04239193742458814,0.8673712974943679,1.680819183932143e-78,0.9686564818975055,0.5657359020098565,0.04345725594053054,0.6788575325090567,0.17760869407154314,0.05422497029411244,0.9949071945037558,8.208904508523567e-45,0.27595409873627563,8
G1_W1_1766907350.pt,0.5228462634431199,0.050019828452549236,0.6507572765228113,0.40848779508785626,0.6690334455210791,0.0,0.9404102138852767,0.7361481345879697,0.730747918850225,0.37718143724305025,0.13126030315423953,0.0580949449046347,0.7592427105678664,1.0,1.0,5
G1_W1_401.pt,0.07927006041027132,0.062376543491251074,0.6194917735846011,0.11288711396337389,0.11563983535479419,3.0357958994510687e-100,0.552589622112668,0.7098762191358986,0.23620534693761608,0.19912074444250052,0.6789496959041127,0.24150316709300232,0.9919097855617327,1.0,1.0,5
G1_W1_829.pt,0.05837753121234708,0.0530435609858583,0.4590263109567986,0.020677314388736732,0.6767417060085374,5.602178956548529e-235,0.3914988229814233,0.5410734496289072,0.7895164111580947,0.6297166190063732,0.18731204519639785,0.16132052485994194,0.9920688032591239,1.0,1.0,5
G1_W2_1766890433.pt,0.10697042509569187,0.058022368072026036,0.6989071438706713,0.1223075337427439,0.6083480796302021,1.5926158297184177e-119,0.5908441885472859,0.8741496460609035,0.09156340658794496,0.9930250670036815,0.9687715054663524,0.9018561450167508,0.9582321510543311,1.0,1.0,7
G1_W2_1766891624.pt,0.5236697277733876,0.008683982507246623,0.7496455650475569,0.5855789342793452,0.691407094863939,4.100829098852763e-259,0.592960467509547,0.8359573199134762,0.8418940170001591,0.4427030190706144,0.2921294052173875,0.4027440548831442,0.7540724214378414,7.605256922785344e-15,0.25180142547387907,7
G1_W2_1766893372.pt,0.900315916236382,0.5598522381152766,0.7914312532899602,0.01051516076342859,0.5641946400434175,0.0,0.8267666677240256,0.34564194137738047,0.43496288420285,0.8481253243343484,0.6978725008088756,0.672338007506513,0.06405023049051373,6.009971752936616e-94,0.022561723107057445,6
G1_W2_1766893894.pt,0.9808205152402254,0.24393181069007489,0.277093367205394,0.9225492610305206,0.6098130162978119,0.0,0.3432615758438973,0.8962468511786289,0.40278974996561956,0.0770656437943968,0.17759906310017579,0.5707034720134557,0.0015402756250281202,4.0646145399840053e-147,0.0020050208427234324,6
G1_W2_1766897650.pt,0.8733342681667111,0.29465821202381065,0.8773357186448567,0.00018742415691441717,0.6100216772886548,0.0,0.7292340046302227,0.6497141885607317,0.5166886118598881,0.2869067754722853,0.6282032578133211,0.3044584393264974,0.42247095542616486,4.627002495392287e-74,0.11809137329852654,6
G1_W2_1766898661.pt,0.26551845032661703,0.012752004392666159,0.7959459714611915,0.02848097887527099,0.7122141442708809,1.416851468730203e-300,0.7592020917139523,0.945009435118832,0.08514734885432017,0.8020589083667563,0.7256636619425015,0.3487466555961155,0.9023453012840035,1.0,1.0,5
G1_W2_1766902339.pt,0.8963105847193102,0.6670301483963955,0.3102194273854513,0.5790856835545157,0.4872653410525455,0.0,0.1255054643759144,0.2358685437737187,0.9722425852728241,0.6179054823369501,0.8760055560690065,0.7449274243127542,0.26757995483161967,5.234324898705284e-123,0.07729199698173586,7
G1_W2_502.pt,0.7374002934346994,0.8005128914636233,0.9818865158109539,0.22912156963727778,0.015979090081398153,1.4783759631854844e-235,0.5040108082555838,0.45011629415309595,0.2587120589432528,0.33993254873730494,0.5932600986926715,0.12175579667886334,0.26254300932163477,1.4982023789418357e-99,0.041416348791097325,7
G1_W2_588.pt,0.43648386525444716,0.18111790687342685,0.5551895760830445,0.09755901406405386,0.3249912331284643,0.0,0.9938367388335105,0.5740440368267458,0.8022823712122604,0.5916537432080169,0.9698628622123464,0.9536336148214433,0.730661817619588,8.719639749948911e-16,0.03319845630442156,6
G1_W3_151.pt,0.8933083136996978,0.8798439705754774,0.20351864578997314,0.7810286809912705,0.9921931226299867,6.123802117440307e-191,0.13015959186829124,0.5855232382541534,0.3119612195534863,0.08801484404042947,0.5689064997876793,0.7175476451974447,0.690305626831359,1.0,1.0,4
G1_W3_1766899404.pt,0.7817069014738549,0.4667114844061671,0.10588398314282818,0.3036488361497706,0.5256816650537839,0.0,0.36473973234151097,0.9277828177825012,0.6577562744221169,0.6804283362340209,0.01777154233699551,0.10722789087093351,0.17479275195269317,4.6528954964992705e-51,0.07546707760851833,5
G1_W3_1766893846.pt,0.6360611933115723,0.06505377145788843,0.2661228392531475,0.7688877959174885,0.7431933337674701,4.7552355109053105e-208,0.6125060131937714,0.26535025422260894,0.27096148451346547,0.6688189323400557,0.6488692093814583,0.8766578294164228,0.6813948486370576,1.0,1.0,6
G1_W3_1766897369.pt,0.02725084217709538,0.04106263820202626,0.04458491829296379,0.22407695142300046,0.5519528149586523,7.219942854055687e-76,0.9393690534937313,0.09044579052684858,0.6540390449296648,0.7091150670419977,0.788063008104809,0.9458925341831674,0.9997060764569315,1.0,1.0,5
