seed,base_entropy,final_entropy,improvement,weight_mag
54,0.64910888671875,0.73382568359375,0.084716796875,0.04936743527650833
55,0.67327880859375,0.7252197265625,0.05194091796875,0.04899655282497406
56,0.71441650390625,0.723388671875,0.00897216796875,0.03826901316642761
57,0.7130126953125,0.72369384765625,0.01068115234375,0.050377052277326584
58,0.7017822265625,0.72723388671875,0.02545166015625,0.04095876216888428
59,0.60504150390625,0.72821044921875,0.1231689453125,0.04981324076652527
60,0.727783203125,0.727783203125,0.0,0.04006478935480118
61,0.70361328125,0.72540283203125,0.02178955078125,0.041219405829906464
62,0.64154052734375,0.72186279296875,0.080322265625,0.03599904477596283
63,0.5364990234375,0.7198486328125,0.183349609375,0.03908117115497589
64,0.7083740234375,0.72857666015625,0.02020263671875,0.03818434476852417
65,0.72418212890625,0.732666015625,0.00848388671875,0.038062840700149536
66,0.48095703125,0.720703125,0.23974609375,0.04911648482084274
67,0.607421875,0.722900390625,0.115478515625,0.03835899755358696
68,0.66473388671875,0.72735595703125,0.0626220703125,0.03825439512729645
69,0.6693115234375,0.71893310546875,0.04962158203125,0.048567742109298706
70,0.7060546875,0.72528076171875,0.01922607421875,0.04539759084582329
71,0.65869140625,0.7213134765625,0.0626220703125,0.043889518827199936
72,0.69268798828125,0.72344970703125,0.03076171875,0.037694670259952545
73,0.5565185546875,0.72808837890625,0.17156982421875,0.05012951418757439
74,0.56939697265625,0.72637939453125,0.156982421875,0.03925597667694092
75,0.70574951171875,0.7293701171875,0.02362060546875,0.03804797679185867
76,0.67791748046875,0.7294921875,0.05157470703125,0.04588611051440239
77,0.66522216796875,0.7279052734375,0.06268310546875,0.0440945029258728
78,0.71185302734375,0.72607421875,0.01422119140625,0.0413132980465889
79,0.5853271484375,0.72265625,0.1373291015625,0.04422594606876373
80,0.44677734375,0.67913818359375,0.23236083984375,0.044867031276226044
81,0.542724609375,0.7183837890625,0.1756591796875,0.05029502511024475
82,0.654052734375,0.7315673828125,0.0775146484375,0.0390065535902977
83,0.70068359375,0.73089599609375,0.03021240234375,0.04648490995168686
84,0.65484619140625,0.7158203125,0.06097412109375,0.04484335705637932
85,0.71087646484375,0.726318359375,0.01544189453125,0.042884498834609985
86,0.67755126953125,0.72515869140625,0.047607421875,0.0384272038936615
87,0.63177490234375,0.72735595703125,0.0955810546875,0.042177848517894745
88,0.5679931640625,0.72027587890625,0.15228271484375,0.04429038614034653
89,0.71527099609375,0.7288818359375,0.01361083984375,0.04291316866874695
90,0.71697998046875,0.72344970703125,0.0064697265625,0.037704870104789734
91,0.72320556640625,0.7298583984375,0.00665283203125,0.04174907132983208
92,0.62115478515625,0.7225341796875,0.10137939453125,0.04038793221116066
93,0.59185791015625,0.724853515625,0.13299560546875,0.037237413227558136
94,0.6973876953125,0.72711181640625,0.02972412109375,0.04434698820114136
95,0.6968994140625,0.72064208984375,0.02374267578125,0.0489744208753109
96,0.64239501953125,0.7261962890625,0.08380126953125,0.044131334871053696
97,0.649169921875,0.72149658203125,0.07232666015625,0.0450594387948513
98,0.5384521484375,0.7279052734375,0.189453125,0.044099681079387665
99,0.5662841796875,0.7266845703125,0.160400390625,0.04750710725784302
